Alert ID,Date,Status Label,Affected,Header,Description
422454,06/22/2025 01:18:00 PM,detour,"[""M11"", ""M7"", ""M79""]","Northbound M7, M11, and eastbound M79-SBS buses are detoured until 5 PM due to a street fair on Amsterdam Ave between W 79th St and W 86th St.","While detoured, Northbound M7, M11 buses will not make stops along Amsterdam Ave from W 79th St to W 83rd St. Stops will be made as requested along Broadway instead. 
Eastbound M79-SBS buses will not stop at Amsterdam/W 79th St. Customers may board/exit at W 79th St/Broadway instead. 
Note: Bus arrival information may not be available/accurate while buses are detoured."
422457,06/22/2025 01:42:00 PM,detour,"[""M11"", ""M7"", ""M79""]","Northbound M7, M11, and eastbound M79-SBS buses are detoured until 5 PM due to a street fair on Amsterdam Ave between W 79th St and W 86th St.","While detoured, Northbound M7, M11 buses will not make stops along Amsterdam Ave from W 79th St to W 83rd St. Stops will be made as requested along Broadway instead.
Eastbound M79-SBS buses will not stop at Amsterdam/W 79th St. Customers may board/exit at W 79th St/Broadway instead.
Note: Bus arrival information may not be available/accurate while buses are detoured.
Use these links for maps of the detours: M7 , M11,  and M79SBS ."
422525,06/23/2025 01:08:00 AM,delays,"[""M11"", ""M7"", ""M79""]","Northbound M7, M11, and eastbound M79-SBS buses are no longer detoured after a street fair on Amsterdam Ave between W 79th St and W 86th St concluded.",
421719,06/19/2025 03:11:00 PM,detour,"[""B26"", ""B44""]","Eastbound B26 and southbound B44, B44-SBS buses are detoured due to a street festival taking place on Nostrand Ave between Gates Ave and Halsey St.","B26
Stops from Putnam Ave/Bedford Ave to Halsey St/Marcy Ave will not be made.
Stops will be made as requested along Gates Ave.

B44
Stops from Nostrand Ave/Gates Ave to Nostrand Ave/Hancock St will not be made.
Stops will be made as requested along Tompkins Ave.
Click this link to see how buses will run along the detoured route. 

NOTE: Bus arrival information may not be accurate/available while buses are detoured."
421718,06/19/2025 03:11:00 PM,detour,"[""B26"", ""B44""]","Eastbound B26 and southbound B44, B44-SBS buses are detoured due to a street festival taking place on Nostrand Ave between Gates Ave and Halsey St.","B26
Stops from Putnam Ave/Bedford Ave to Halsey St/Marcy Ave will not be made.
Stops will be made as requested along Gates Ave.

B44
Stops from Nostrand Ave/Gates Ave to Nostrand Ave/Hancock St will not be made.
Stops will be made as requested along Tompkins Ave.

NOTE: Bus arrival information may not be accurate/available while buses are detoured."
421887,06/20/2025 01:37:00 AM,delays,"[""B26"", ""B44""]","Eastbound B26 and southbound B44, B44-SBS buses are no longer detoured after a street festival concluded on Nostrand Ave between Gates Ave and Halsey St.",
421288,06/17/2025 06:10:00 PM,detour,"[""B13"", ""B20"", ""Q58""]","Ridgewood-bound B13, B20, and Main St-bound Q58 buses are detoured due to FDNY activity at Putnam Ave/Fresh Pond Rd.","B13 and B20 stops from Fresh Pond Rd/Myrtle Ave to Putnam Ave/Forest Ave will not be made.

Q58 stops from Fresh Pond Rd/Metropolitan Ave to Putnam Ave/Forest Ave will not be made.

While detoured, stops will be made along Forest Ave as requested.

Note: Bus arrival information may not be available/accurate while buses are detoured."
421289,06/17/2025 06:11:00 PM,detour,"[""B13"", ""B20"", ""Q58""]","Ridgewood-bound B13, B20, and Main St-bound Q58 buses are detoured due to FDNY activity at Putnam Ave/Fresh Pond Rd.","B13 and B20 stops from Fresh Pond Rd/Myrtle Ave to Putnam Ave/Forest Ave will not be made.

Q58 stops from Fresh Pond Rd/Metropolitan Ave to Putnam Ave/Forest Ave will not be made.

While detoured, stops will be made along Forest Ave as requested.

Note: Bus arrival information may not be available/accurate while buses are detoured.

See the detour here:"
421311,06/17/2025 07:29:00 PM,delays,"[""B13"", ""B20"", ""Q58""]","Ridgewood-bound B13, B20, and Main St-bound Q58 buses are no longer detoured after the FDNY activity at Putnam Ave/Fresh Pond Rd has been cleared.",
420676,06/14/2025 09:42:00 PM,detour,"[""SIM1C"", ""SIM33C"", ""SIM3C"", ""SIM4C""]","Northbound SIM1C, SIM3C, SIM4C and SIM33C buses are detoured in both directions because of protest activity at W 42nd St/5th Ave.","While detoured, northbound SIM1C and SIM3C buses will not make stops from Avenue of the Americas/W 15th St to 6th Ave/W 50th St.
Northbound SIM4C and SIM33C buses will not make stops from Avenue of the Americas/W 15th St to Madison Ave/E 54th St.

Instead, buses will make stops along 8th Ave, as requested.

Click here to view a map of detoured northbound SIM1C and SIM3C buses.
Click here to view a map of detoured northbound SIM4C and SIM33C buses.

Note: Bus arrival information may not be available/accurate while buses are detoured."
420716,06/15/2025 12:37:00 AM,delays,"[""SIM1C"", ""SIM33C"", ""SIM3C"", ""SIM4C""]","Northbound SIM1C, SIM3C, SIM4C and SIM33C buses are no longer detoured in either direction after protest activity concluded at W 42nd St/5th Ave.",
420646,06/14/2025 07:34:00 PM,detour,"[""BM1"", ""BM2"", ""BM3"", ""BM4"", ""BM5""]","Brooklyn-bound BM1, BM2, BM3, BM4 and Queens-bound BM5 buses are detoured because of protest activity at 6th Ave/W 42nd St.","While detoured, BM1, BM2, BM3 and BM4 buses will not stop at 5th Ave/W 48th St and 5th Ave/W 39th St.

BM5 buses will not make stops from 5th Ave/W 48th St to E 34th St/2nd Ave.

Instead, buses will make stops along 2nd Ave, as requested. 

Note: Bus arrival information may not be available/accurate while buses are detoured."
420647,06/14/2025 07:36:00 PM,detour,"[""BM1"", ""BM2"", ""BM3"", ""BM4"", ""BM5""]","Brooklyn-bound BM1, BM2, BM3, BM4 and Queens-bound BM5 buses are detoured because of protest activity at 6th Ave/W 42nd St.","While detoured, BM1, BM2, BM3 and BM4 buses will not stop at 5th Ave/W 48th St and 5th Ave/W 39th St.

BM5 buses will not make stops from 5th Ave/W 48th St to E 34th St/2nd Ave.

Instead, buses will make stops along 2nd Ave, as requested.

Click here to view the detoured BM1-4 routes.
Click here to view the detoured BM5 route.

Note: Bus arrival information may not be available/accurate while buses are detoured."
420703,06/14/2025 11:48:00 PM,delays,"[""BM1"", ""BM2"", ""BM3"", ""BM4"", ""BM5""]","Brooklyn-bound BM1, BM2, BM3, BM4 and Queens-bound BM5 buses are no longer detoured after protest activity concluded at 6th Ave/W 42nd St.",
420645,06/14/2025 07:31:00 PM,delays,"[""B26""]",Westbound B26 buses are no longer detoured in either direction after utility work on Halsey St between Bedford Ave and Arlington Pl concluded.,
420042,06/12/2025 06:22:00 PM,detour,"[""B48"", ""B49""]",Southbound B48 and northbound B49 buses are detoured because of road work at Franklin Ave/Fulton St.,"While detoured, southbound B48 buses will not make stops at Franklin Ave/Fulton St and Franklin/Atlantic Ave.
Instead, buses will make stops along Grand Ave, as requested. 

Northbound B49 buses will not make stops from Bedford Ave/Atlantic Ave to Franklin Ave/Lefferts Pl, the last stop. 
Instead, buses will terminate at Franklin Ave/Atlantic Ave.

Note: Bus arrival information may not be available/accurate while buses are detoured."
420043,06/12/2025 06:23:00 PM,detour,"[""B48"", ""B49""]",Southbound B48 and northbound B49 buses are detoured because of road work at Franklin Ave/Fulton St.,"While detoured, southbound B48 buses will not make stops at Franklin Ave/Fulton St and Franklin/Atlantic Ave.
Instead, buses will make stops along Grand Ave, as requested.

Click here to view a map of the detoured B48 route.

Northbound B49 buses will not make stops from Bedford Ave/Atlantic Ave to Franklin Ave/Lefferts Pl, the last stop.
Instead, buses will terminate at Franklin Ave/Atlantic Ave.

Note: Bus arrival information may not be available/accurate while buses are detoured.

Click here to view a map of the detoured B49 route."
420165,06/13/2025 12:43:00 AM,delays,"[""B48"", ""B49""]",Southbound B48 and northbound B49 buses are no longer detoured after road work at Franklin Ave/Fulton St concluded.,
418398,06/06/2025 03:14:00 PM,detour,"[""B6"", ""B84""]",Westbound B6 and southbound B84 buses are detoured because of road work on Ashford St between Linden Blvd and New Lots Ave.,"While detoured, the Ashford St/New Lots Ave stop will not be served. 
Customers may board/exit at the Ashford Ave/Linden Blvd stop instead. 

Note: Bus arrival information may not be available/accurate while buses are detoured."
418400,06/06/2025 03:15:00 PM,detour,"[""B6"", ""B84""]",Westbound B6 and southbound B84 buses are detoured because of road work on Ashford St between Linden Blvd and New Lots Ave.,"While detoured, the Ashford St/New Lots Ave stop will not be served.
Customers may board/exit at the Ashford Ave/Linden Blvd stop instead.

Note: Bus arrival information may not be available/accurate while buses are detoured.

See a map of the detour here"
418486,06/06/2025 07:25:00 PM,delays,"[""B6"", ""B84""]",Westbound B6 and southbound B84 buses are no longer detoured after road work concluded on Ashford St between Linden Blvd and New Lots Ave.,
417997,06/05/2025 02:54:00 PM,delays,"[""B32"", ""Q59""]",Southbound B32 and westbound Q59 buses are running with delays after construction on Broadway between Bedford Ave and Wythe Ave concluded.,
417045,06/01/2025 03:54:00 PM,detour,"[""Q66""]","Westbound Q66 buses will not make the stop at 35th Ave/Steinway St.
Eastbound Q66 buses will not make the stop at 35th Ave/35th St.","Board/exit westbound buses at nearby 35th Ave/34th St or 35th Ave/35th St instead.
Board/exit eastbound buses at nearby 35th Ave/31st St or 35th Ave/Steinway St instead.
Buses will also makes stops on 36th Ave as requested.

Note: Bus arrival information may not be accurate or available while buses are detoured."
416643,05/30/2025 05:31:00 PM,delays,"[""B26"", ""Q58""]",Eastbound B26 and westbound Q58 buses are no longer detoured after utility work on Ridgewood Pl between Putnam Ave and Palmetto St ended.,
416574,05/30/2025 11:59:00 AM,detour,"[""B26"", ""Q58""]",Eastbound B26 and westbound Q58  buses are detoured due to utility work on Ridgewood Pl between Putnam Ave and Palmetto St.,"Buses will make a few extra turns, but no stops will be missed.

Note: Bus arrival information may not be available/accurate while buses are detoured."
415437,05/26/2025 03:10:00 AM,detour,"[""M101"", ""M3""]","Northbound M3, and M101 buses in both directions are detoured due to illegally parked vehicles on Fort George Avenue.","While detoured, northbound M3 buses will not make stops from Amsterdam Ave/W 190th St to Fort George Ave/66 Fort George Ave
.
Buses will make stops along Audubon Ave instead.
Northbound M101 buses will not make stops from Amsterdam Ave/W 181st St to Ft George Ave/Fort George Hill
.
Northbound buses will make stops along W 181st St and St Nicholas Ave instead.
Southbound M101 buses will not make the Ft George Ave/Fort George Hill stop.

M101 buses will end/start at W 190th St/St Nicholas Ave in both directions."
415439,05/26/2025 03:26:00 AM,detour,"[""M101"", ""M3""]","Northbound M3, and M101 buses in both directions are detoured due to illegally parked vehicles on Fort George Avenue.","While detoured, northbound M3 buses will not make stops from Amsterdam Ave/W 190th St to Fort George Ave/66 Fort George Ave
.
Buses will make stops along Audubon Ave instead.
Use this map to view how M3 buses are detoured.
Northbound M101 buses will not make stops from Amsterdam Ave/W 181st St to Ft George Ave/Fort George Hill
.
Northbound buses will make stops along W 181st St and St Nicholas Ave instead.
Southbound M101 buses will not make the Ft George Ave/Fort George Hill stop.

M101 buses will end/start at W 190th St/St Nicholas Ave in both directions.

Use this map to view how M101 buses are detoured."
415442,05/26/2025 03:59:00 AM,detour | part-suspended,"[""M101"", ""M3""]","Northbound M3, and M101 buses in both directions are detoured due to illegally parked vehicles on Fort George Avenue.","While detoured, northbound M3 buses will not make stops from Amsterdam Ave/W 190th St to Fort George Ave/66 Fort George Ave
.
Buses will make stops along Audubon Ave instead.
Use this map to view how M3 buses are detoured.
Northbound M101 buses will not make stops from Amsterdam Ave/W 181st St to Ft George Ave/Fort George Hill
.
Northbound buses will make stops along W 181st St and St Nicholas Ave instead.
Southbound M101 buses will not make the Ft George Ave/Fort George Hill stop.

M101 buses will end/start at W 190th St/St Nicholas Ave in both directions.

Use this map to view how M101 buses are detoured."
415457,05/26/2025 09:34:00 AM,delays,"[""M101"", ""M3""]","Northbound M3, and M101 buses in either direction are no longer detoured following illegally parked vehicles on Fort George Avenue.",
415458,05/26/2025 09:37:00 AM,delays,"[""M101"", ""M3""]","Northbound M3, and M101 buses in either direction are no longer detoured following illegally parked vehicles on Fort George Avenue.",
415009,05/23/2025 12:02:00 PM,detour,"[""B26"", ""Q58""]",Westbound B26 and eastbound Q58  buses are detoured due to utility work on Ridgewood Pl between Putnam Ave and Palmetto St.,You will see a few extra turns but no stops will be missed.
415151,05/24/2025 02:32:00 AM,delays,"[""B26"", ""Q58""]",Westbound B26 and eastbound Q58 buses are no longer detoured after utility work on Ridgewood Pl between Putnam Ave and Palmetto St concluded.,
413724,05/19/2025 01:19:00 AM,detour,"[""B8""]",Eastbound B8 buses are detoured in both directions because of FDNY activity on Foster Ave between 47th St and 18th Ave.,"Buses will not serve stops from 18th Ave/E 3rd St to Coney Island Ave/Newkirk Ave

While detoured, stops will be made as requested on Foster Ave.

Note: Bus arrival information may not be available/accurate while buses are detoured."
413725,05/19/2025 01:20:00 AM,detour,"[""B8""]",Eastbound B8 buses are detoured in both directions because of FDNY activity on Foster Ave between 47th St and 18th Ave.,"Buses will not serve stops from 18th Ave/E 3rd St to Coney Island Ave/Newkirk Ave

While detoured, stops will be made as requested on Foster Ave.
Here is a map of the detour. 

Note: Bus arrival information may not be available/accurate while buses are detoured."
413870,05/19/2025 04:41:00 PM,delays,"[""M125"", ""M60""]",Eastbound M60-SBS and northbound M125 buses have resumed stopping at the Lexington Ave/E 125th St bus stop after utility work at that location concluded.,
413718,05/19/2025 12:51:00 AM,stops-skipped,"[""M125"", ""M60""]",Eastbound M60-SBS and Northbound M125 buses will not serve the Lexington Ave/E 125th St bus stop due to utility work at that location.,Please board at E 125th Street and 2nd Avenue.
413719,05/19/2025 12:52:00 AM,stops-skipped,"[""M125"", ""M60""]",Eastbound M60-SBS and Northbound M125 buses will not serve the Lexington Ave/E 125th St bus stop due to utility work at that location.,Please board at E 125th Street and 2nd Avenue.
412945,05/15/2025 06:17:00 PM,delays,"[""B25"", ""B26"", ""B38"", ""B41"", ""B52""]","Westbound B25, B26, B38, B52, and northbound B41 buses are running with delays after a car crash at Tillary St/Cadman Plaza East was cleared.",
412929,05/15/2025 04:55:00 PM,detour,"[""B57"", ""B61""]",Westbound B57 and southbound B61 buses are detoured due to utility work at Dwight St/Beard St.,"While detoured, buses will not serve the Beard St/Otstego St stop. 
Customers may board/exit at the Dwight St/Van Dyke St stop instead. 
Note: Bus arrival information may not be available while buses are detoured."
413073,05/16/2025 04:55:00 AM,delays,"[""B57"", ""B61""]",Westbound B57 and southbound B61 buses are no longer detoured following utility work at Dwight St/Beard St.,
411954,05/11/2025 02:26:00 AM,detour,"[""B48""]",Southbound B48 buses are no longer detoured in either direction after utility work on Franklin Ave between Park Ave and Myrtle Ave concluded.,
411959,05/11/2025 02:33:00 AM,detour,"[""B48""]",Southbound B48 buses are no longer detoured in either direction after utility work on Franklin Ave between Park Ave and Myrtle Ave concluded.,
408237,04/26/2025 01:00:00 AM,detour,"[""Q39""]","Eastbound Q39 buses are detoured due to road work on 58th St between 55th Dr and Rust St.

Eastbound buses will not serve the 58th St/55th Dr stop.","While detoured, buses will make stops as requested on 56th St.

Note: Bus arrival information may not be available/accurate while buses are detoured."
408238,04/26/2025 01:01:00 AM,detour,"[""Q39""]","Eastbound Q39 buses are detoured due to road work on 58th St between 55th Dr and Rust St.

Eastbound buses will not serve the 58th St/55th Dr stop.","While detoured, buses will make stops as requested on 56th St.

Note: Bus arrival information may not be available/accurate while buses are detoured.
Click here for a map of the detour."
